id_hh,wgt09,comm,urban,regurb,id_ind,ind_sex,ind_position,ind_age,ind_marital_status,n_ind_household,n_child_15,n_child_5,ind_read,ind_write,ind_literacy,ind_any_schooling,ind_education,ind_education_years
1021000402,721.86376953125,1020004,1,1,102100040203,1,5,19,3,3,0,0,2,2,2,1,1,NA
1021000405,5301.111328125,1020004,1,1,102100040501,1,1,29,1,3,1,1,1,1,1,1,3,NA
1021000405,5301.111328125,1020004,1,1,102100040502,0,2,28,1,3,1,1,1,1,1,1,2,NA
1021000405,5301.111328125,1020004,1,1,102100040503,1,3,2,NA,3,1,1,NA,NA,NA,NA,NA,NA
1021000503,1457.80126953125,1020005,1,1,102100050301,0,1,76,2,2,0,0,1,1,1,1,1,NA
1021000503,1457.80126953125,1020005,1,1,102100050302,0,3,NA,NA,2,0,0,NA,NA,NA,NA,NA,NA
1021000504,769.357604980469,1020005,1,1,102100050401,0,1,37,2,6,2,0,1,2,2,1,1,NA
1021000504,769.357604980469,1020005,1,1,102100050402,0,3,14,3,6,2,0,1,1,1,1,NA,10
1021000504,769.357604980469,1020005,1,1,102100050403,1,3,16,3,6,2,0,1,1,1,1,1,NA
1021000504,769.357604980469,1020005,1,1,102100050404,0,3,8,NA,6,2,0,1,1,1,1,NA,4
1021000504,769.357604980469,1020005,1,1,102100050405,0,5,NA,NA,6,2,0,NA,NA,NA,NA,NA,NA
1021000504,769.357604980469,1020005,1,1,102100050406,1,3,NA,NA,6,2,0,NA,NA,NA,NA,NA,NA
1021000506,769.357604980469,1020005,1,1,102100050601,1,1,45,1,6,3,0,1,1,1,1,3,NA
1021000506,769.357604980469,1020005,1,1,102100050602,0,2,31,1,6,3,0,2,2,2,1,1,NA
1021000506,769.357604980469,1020005,1,1,102100050603,1,3,13,3,6,3,0,1,1,1,1,NA,8
1021000506,769.357604980469,1020005,1,1,102100050604,1,3,10,3,6,3,0,1,1,1,1,NA,5
1021000506,769.357604980469,1020005,1,1,102100050605,1,3,5,NA,6,3,0,2,2,2,2,NA,NA
1021000506,769.357604980469,1020005,1,1,102100050606,1,5,NA,NA,6,3,0,NA,NA,NA,NA,NA,NA
