id_hh,wgt09,comm,urban,regurb
1033000304,3402.89672851563,1030003,0,10
1033000307,2398.74389648438,1030003,0,10
1033000308,991.080383300781,1030003,0,10
1033000309,2160.49584960938,1030003,0,10
1033000310,955.407409667969,1030003,0,10
1033000502,4163.7958984375,1030005,0,10
1033000504,1838.71496582031,1030005,0,10
1033000505,1039.4873046875,1030005,0,10
1033000506,886.417846679688,1030005,0,10
1033000507,839.357482910156,1030005,0,10
1033000509,2381.4521484375,1030005,0,10
1033000511,2518.072265625,1030005,0,10
1041000203,842.069458007813,1040002,1,11
1041000204,1554.01574707031,1040002,1,11
1041000207,777.007873535156,1040002,1,11
1041000209,777.007873535156,1040002,1,11
1041000210,650.160400390625,1040002,1,11
1041000213,1684.13891601563,1040002,1,11
1043000401,4250.81201171875,1040004,0,10
1043000402,938.570495605469,1040004,0,10
1043000406,1215.61010742188,1040004,0,10
1043000407,856.898559570313,1040004,0,10
1043000409,2856.32861328125,1040004,0,10
1043000410,1215.61010742188,1040004,0,10
1043000601,1906.45166015625,1040006,0,10
1043000603,3119.84594726563,1040006,0,10
1043000604,2285.94140625,1040006,0,10
1043000605,997.797485351563,1040006,0,10
1043000606,1830.87158203125,1040006,0,10
1043000607,1142.970703125,1040006,0,10
1043000610,1995.59497070313,1040006,0,10
1043000611,2859.67724609375,1040006,0,10
1043000804,948.288879394531,1040008,0,10
1043000805,1092.509765625,1040008,0,10
1043000806,2844.86645507813,1040008,0,10
1043000807,2503.826171875,1040008,0,10
1043000808,948.288879394531,1040008,0,10
1043000809,881.402893066406,1040008,0,10
1043000810,1183.98937988281,1040008,0,10
1043000811,2070.11938476563,1040008,0,10
1051000103,1758.03356933594,1050001,1,11
1051000105,1677.14379882813,1050001,1,11
1051000106,1758.03356933594,1050001,1,11
1051000107,1005.49432373047,1050001,1,11
1051000109,838.571899414063,1050001,1,11
1051000110,877.782531738281,1050001,1,11
1051000305,1772.39392089844,1050003,1,11
1051000308,886.196960449219,1050003,1,11
1051000309,1635.45166015625,1050003,1,11
1051000310,684.231018066406,1050003,1,11
1051000311,1547.27514648438,1050003,1,11
1053000402,1202.38427734375,1050004,0,10
1053000403,1270.90600585938,1050004,0,10
1053000404,1202.38427734375,1050004,0,10
1053000407,1063.42907714844,1050004,0,10
1053000408,1941.78454589844,1050004,0,10
1053000409,1270.90600585938,1050004,0,10
1053000410,1202.38427734375,1050004,0,10
1053000802,2873.68212890625,1050008,0,10
1053000804,1980.04992675781,1050008,0,10
1053000805,944.472351074219,1050008,0,10
1053000806,988.634826660156,1050008,0,10
1053000807,1291.58850097656,1050008,0,10
1053000808,3114.3056640625,1050008,0,10
1053000809,1132.47485351563,1050008,0,10
1053001202,914.040588378906,1050012,0,10
1053001203,1042.46398925781,1050012,0,10
1053001204,797.944702148438,1050012,0,10
1053001205,914.040588378906,1050012,0,10
1053001206,732.079528808594,1050012,0,10
1053001207,1595.88940429688,1050012,0,10
1053001208,762.300354003906,1050012,0,10
1053001209,1464.15905761719,1050012,0,10
1053001210,1686.83630371094,1050012,0,10
1053001503,1497.91442871094,1050015,0,10
1053001505,776.788818359375,1050015,0,10
1053001507,776.788818359375,1050015,0,10
1053001508,748.957214355469,1050015,0,10
