id_hh,id_ind,ind_sex,ind_position,ind_age,ind_marital_status,n_ind_household,n_child_15,n_child_5
102100080503,1021000805030,1,1,20,3,1,0,0
1021000807,102100080701,1,1,37,1,2,0,0
1021000807,102100080702,0,5,21,3,2,0,0
1021000808,102100080801,1,1,36,1,3,0,0
1021000808,102100080802,0,5,20,3,3,0,0
1021000808,102100080803,0,5,17,3,3,0,0
102100080803,1021000808030,1,3,19,3,5,1,1
102100080803,10210008080301,0,1,57,2,5,1,1
102100080803,10210008080303,0,3,16,3,5,1,1
102100080803,10210008080304,0,3,16,3,5,1,1
102100080803,10210008080305,1,4,3,NA,5,1,1
1021000809,102100080901,1,1,29,1,4,1,1
1021000809,102100080902,0,2,26,1,4,1,1
1021000809,102100080903,1,3,2,NA,4,1,1
1021000809,102100080904,0,3,NA,NA,4,1,1
1021000810,102100081001,0,1,52,1,2,0,0
1021000810,102100081002,1,2,61,1,2,0,0
1021000811,102100081101,1,1,33,1,5,3,1
1021000811,102100081102,0,2,37,1,5,3,1
1021000811,102100081103,0,3,10,3,5,3,1
1021000811,102100081104,1,3,9,NA,5,3,1
1021000811,102100081105,0,3,2,NA,5,3,1
1021000904,102100090401,1,1,50,1,6,3,1
1021000904,102100090402,0,2,38,1,6,3,1
1021000904,102100090403,0,3,14,3,6,3,1
1021000904,102100090404,1,3,10,3,6,3,1
1021000904,102100090405,1,3,2,NA,6,3,1
1021000904,102100090406,0,5,15,3,6,3,1
1021000906,102100090601,1,1,48,1,2,0,0
1021000906,102100090602,0,2,46,1,2,0,0
1021000909,102100090901,1,1,35,1,3,1,1
1021000909,102100090902,0,2,29,1,3,1,1
1021000909,102100090903,0,3,0,NA,3,1,1
1021001003,102100100301,1,1,64,1,9,6,0
1021001003,102100100302,1,4,15,3,9,6,0
1021001003,102100100303,0,3,14,3,9,6,0
1021001003,102100100304,1,3,12,3,9,6,0
1021001003,102100100305,0,3,10,3,9,6,0
1021001003,102100100306,0,3,8,NA,9,6,0
1021001003,102100100307,1,4,8,NA,9,6,0
1021001003,102100100308,1,5,13,3,9,6,0
1021001003,102100100309,1,5,NA,NA,9,6,0
1021001004,102100100401,1,1,31,1,4,2,0
1021001004,102100100402,0,2,30,1,4,2,0
1021001004,102100100403,0,3,8,NA,4,2,0
1021001004,102100100404,1,3,5,NA,4,2,0
1021001005,102100100501,1,1,44,1,6,4,1
1021001005,102100100502,0,2,29,1,6,4,1
1021001005,102100100503,0,5,13,3,6,4,1
1021001005,102100100504,1,3,10,3,6,4,1
1021001005,102100100505,0,3,5,NA,6,4,1
1021001005,102100100506,1,3,1,NA,6,4,1
1021001007,102100100701,1,1,36,1,6,4,1
1021001007,102100100702,0,2,28,1,6,4,1
1021001007,102100100703,1,3,10,3,6,4,1
1021001007,102100100704,1,3,9,NA,6,4,1
1021001007,102100100705,0,3,6,NA,6,4,1
1021001007,102100100706,0,3,1,NA,6,4,1
1021001008,102100100801,0,1,29,1,5,3,1
1021001008,102100100802,0,3,11,3,5,3,1
1021001008,102100100803,0,3,9,NA,5,3,1
1021001008,102100100804,0,3,2,NA,5,3,1
1021001008,102100100805,1,2,NA,NA,5,3,1
1021001009,102100100901,1,1,45,1,2,0,0
1021001009,102100100902,1,5,16,3,2,0,0
1021001011,102100101101,0,1,38,2,3,0,0
1021001011,102100101102,0,3,17,3,3,0,0
1021001011,102100101103,1,3,15,3,3,0,0
1021001102,102100110201,0,1,20,3,1,0,0
102100110201,1021001102010,1,1,48,1,7,3,2
102100110201,10210011020102,0,2,42,1,7,3,2
102100110201,10210011020105,1,3,5,NA,7,3,2
102100110201,10210011020106,0,3,3,NA,7,3,2
102100110201,10210011020107,0,3,0,NA,7,3,2
102100110201,1021001102030,1,3,19,3,7,3,2
102100110201,1021001102040,0,3,15,3,7,3,2
1021001105,102100110501,1,1,28,2,1,0,0
1021001107,102100110701,1,1,49,1,10,3,1
1021001107,102100110702,0,2,47,1,10,3,1
