case_id,ea_id,wgt10,urban,regionXurban,total_consumption_monthly,total_consumption_weekly
1021001810,1020018,1378.92504882813,1,11,366075.3270302676,84247.47436855418
1021001902,1020019,2458.62841796875,1,11,233349.66551040727,53702.38995203652
1021001907,1020019,431.452209472656,1,11,249017.44529773138,57308.12565335463
1021001908,1020019,858.003601074219,1,11,138054.38533788067,31771.42088370779
1021001910,1020019,582.716857910156,1,11,346318.96892476326,79700.80555420974
1021002008,1020020,1506.1298828125,1,11,163623.2160557436,37655.75465733835
1021002010,1020020,1297.91149902344,1,11,210673.03061307844,48483.657422925615
1021002011,1020020,1602.62902832031,1,11,281192.6159581814,64712.82262517758
1021002013,1020020,1703.61254882813,1,11,285330.82865729963,65665.17844530026
1021002103,1020021,1530.54907226563,1,11,280763.61444508383,64614.09350767065
1021002106,1020021,642.610534667969,1,11,224680.31846324186,51707.25250567215
