case_id,wgt11,ea_id,urban,regionXurban,total_consumption_annual,total_consumption_weekly
1021001810,388.39068603515625,10210018,1,11,456300.3803218807,8750.965718448906
1021001902,1639.11376953125,10210019,1,11,375601.63156082644,7203.31856673812
1021001907,366.49267578125,10210019,1,11,629671.045518889,12075.882403053629
1021001908,300.95245361328125,10210019,1,11,39546.90747865866,758.433800498451
1021001910,531.48114013671875,10210019,1,11,569706.8182941317,10925.883587784247
1021002008,1315.6131591796875,10210020,1,11,298251.3247026004,5719.888105535454
1021002010,425.7363586425781,10210020,1,11,385077.08468575694,7385.039575615088
1021002011,1080.3408203125,10210020,1,11,406547.1662684075,7796.794542309483
1021002013,573.3079833984375,10210020,1,11,628416.1929845373,12051.816739329935
1021002103,1020.8360595703125,10210021,1,11,358034.5741666526,6866.416114625331
1021002106,429.2583312988281,10210021,1,11,351981.9915546541,6750.339194180259
