case_id,ea_id,wgt10,urban,regionXurban,total_consumption_annual,total_consumption_weekly
1021001308,1020013,1274.90185546875,1,11,714695.0472605824,13706.47960738215
1021001309,1020013,2396.96240234375,1,11,36624.31680423675,702.3841194026708
1021001402,1020014,3679.8740234375,1,11,234384.21281616008,4495.039451540634
1021001403,1020014,1476.97021484375,1,11,87030.4559669745,1669.0771462665168
1021001405,1020014,3266.748046875,1,11,416673.6007994575,7991.000125414247
1021001407,1020014,2253.78100585938,1,11,388187.99717546994,7444.700907765127
1021001408,1020014,1476.97021484375,1,11,381608.1611402959,7318.512278388564
1021001501,1020015,1639.23132324219,1,11,104080.44675156097,1996.0632529853747
1021001504,1020015,2811.91552734375,1,11,343208.4750619864,6582.079982992617
1021001505,1020015,1302,1,11,678273.1988836349,13007.978443906508
1021001507,1020015,716.810913085938,1,11,306943.6072540268,5886.5894056065745
1021001512,1020015,889.289428710938,1,11,30257.418158079294,580.2792205506046
1021001701,1020017,1789.46069335938,1,11,174399.72611752545,3344.6520984373597
1021001704,1020017,894.730346679688,1,11,292709.8232140945,5613.61274034632
1021001705,1020017,926.78271484375,1,11,312099.4568695927,5985.468707884314
1021001706,1020017,417.357727050781,1,11,49498.89665287854,949.2938563952675
1021001709,1020017,926.78271484375,1,11,140315.9458729981,2690.990595318287
1021001710,1020017,1848.83239746094,1,11,286165.7167010496,5488.109334644275
1021001711,1020017,1855.41320800781,1,11,143129.5647952409,2744.9504073087073
1021001713,1020017,1080.55249023438,1,11,66861.54567035753,1282.2761480739173
1021001802,1020018,1626.44274902344,1,11,28210.104529616725,541.0156736630236
1021001804,1020018,1388.17602539063,1,11,374279.7368964458,7177.96716360487
1021001809,1020018,1585.48095703125,1,11,1109000.8360987084,21268.508020056983
